project,commit_hash,file_name,rule,type,severity,tags
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1117,CODE_SMELL,MAJOR,pitfall|suspicious
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3723,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S122,CODE_SMELL,MAJOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S1451,CODE_SMELL,BLOCKER,
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S3798,CODE_SMELL,MAJOR,
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S1438,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S3512,CODE_SMELL,MINOR,clumsy|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S1441,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S3723,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,examples/todos/todos.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,examples/todos/todos.js,S1441,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,examples/todos/todos.js,S1441,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S3533,CODE_SMELL,MINOR,convention|es2015|obsolete
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S1192,CODE_SMELL,CRITICAL,design
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S3723,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S109,CODE_SMELL,MAJOR,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S3723,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S3801,CODE_SMELL,MAJOR,api-design|confusing
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S106,CODE_SMELL,MAJOR,bad-practice|owasp-a3|user-experience
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S3723,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S3512,CODE_SMELL,MINOR,clumsy|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf-sauce.js,S3723,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf.js,S1451,CODE_SMELL,BLOCKER,
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf.js,S3723,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf.js,S3723,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf.js,S3723,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf.js,S3723,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,karma.conf.js,S113,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1774,CODE_SMELL,MAJOR,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S126,CODE_SMELL,CRITICAL,
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1117,CODE_SMELL,MAJOR,pitfall|suspicious
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S4138,CODE_SMELL,MINOR,clumsy
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S4138,CODE_SMELL,MINOR,clumsy
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3513,CODE_SMELL,MAJOR,api-design|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3514,CODE_SMELL,MINOR,clumsy|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1526,CODE_SMELL,BLOCKER,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3513,CODE_SMELL,MAJOR,api-design|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1774,CODE_SMELL,MAJOR,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1067,CODE_SMELL,CRITICAL,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1117,CODE_SMELL,MAJOR,pitfall|suspicious
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3512,CODE_SMELL,MINOR,clumsy|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3827,BUG,BLOCKER,
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S126,CODE_SMELL,CRITICAL,
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1774,CODE_SMELL,MAJOR,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1117,CODE_SMELL,MAJOR,pitfall|suspicious
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1774,CODE_SMELL,MAJOR,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3776,CODE_SMELL,CRITICAL,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,examples/backbone.localStorage.js,S1451,CODE_SMELL,BLOCKER,
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1774,CODE_SMELL,MAJOR,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1774,CODE_SMELL,MAJOR,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S126,CODE_SMELL,CRITICAL,
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1172,CODE_SMELL,MAJOR,unused
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S109,CODE_SMELL,MAJOR,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3512,CODE_SMELL,MINOR,clumsy|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3512,CODE_SMELL,MINOR,clumsy|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1192,CODE_SMELL,CRITICAL,design
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1774,CODE_SMELL,MAJOR,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1117,CODE_SMELL,MAJOR,pitfall|suspicious
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3723,CODE_SMELL,MINOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3512,CODE_SMELL,MINOR,clumsy|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3827,BUG,BLOCKER,
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S881,CODE_SMELL,MAJOR,
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1121,CODE_SMELL,MAJOR,cwe|suspicious
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S122,CODE_SMELL,MAJOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1526,CODE_SMELL,BLOCKER,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1774,CODE_SMELL,MAJOR,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1117,CODE_SMELL,MAJOR,pitfall|suspicious
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1117,CODE_SMELL,MAJOR,pitfall|suspicious
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1172,CODE_SMELL,MAJOR,unused
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1172,CODE_SMELL,MAJOR,unused
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S909,CODE_SMELL,MINOR,bad-practice
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1774,CODE_SMELL,MAJOR,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1774,CODE_SMELL,MAJOR,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1774,CODE_SMELL,MAJOR,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,examples/todos/todos.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,examples/todos/todos.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1541,CODE_SMELL,CRITICAL,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1526,CODE_SMELL,BLOCKER,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S126,CODE_SMELL,CRITICAL,
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3801,CODE_SMELL,MAJOR,api-design|confusing
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3498,CODE_SMELL,MINOR,convention|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3513,CODE_SMELL,MAJOR,api-design|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S3514,CODE_SMELL,MINOR,clumsy|es2015
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S109,CODE_SMELL,MAJOR,brain-overload
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S881,CODE_SMELL,MAJOR,
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1121,CODE_SMELL,MAJOR,cwe|suspicious
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S122,CODE_SMELL,MAJOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S881,CODE_SMELL,MAJOR,
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S121,CODE_SMELL,CRITICAL,pitfall
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S1121,CODE_SMELL,MAJOR,cwe|suspicious
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S122,CODE_SMELL,MAJOR,convention
backbone,00f8b6fe797321131f76a72e95560ad2354c5dc9,backbone.js,S122,CODE_SMELL,MAJOR,convention
